period,posts,avg_sentiment,positive_rate,negative_rate
2009-02-26,1,-1.0,0.0,1.0
2009-05-27,1,0.0,0.0,0.0
2012-12-17,1,1.0,1.0,0.0
2013-05-20,1,1.0,1.0,0.0
2013-05-28,1,-1.0,0.0,1.0
2013-10-10,1,-1.0,0.0,1.0
2013-12-25,1,-1.0,0.0,1.0
2014-06-08,1,1.0,1.0,0.0
2014-06-27,1,-1.0,0.0,1.0
2014-08-06,2,0.5,0.5,0.0
2014-08-07,2,1.0,1.0,0.0
2014-08-10,1,0.0,0.0,0.0
2014-08-11,1,1.0,1.0,0.0
2014-10-24,6,1.0,1.0,0.0
2014-10-25,2,1.0,1.0,0.0
2014-10-26,2,1.0,1.0,0.0
2014-10-27,2,1.0,1.0,0.0
2014-10-31,1,1.0,1.0,0.0
2014-11-02,1,1.0,1.0,0.0
2014-11-04,13,0.6923076923076923,0.7692307692307693,0.07692307692307693
2014-11-05,5,0.6,0.8,0.2
2014-11-07,2,1.0,1.0,0.0
2014-11-08,1,1.0,1.0,0.0
2014-11-16,1,1.0,1.0,0.0
2014-11-21,1,1.0,1.0,0.0
2014-11-22,2,1.0,1.0,0.0
2014-11-23,1,1.0,1.0,0.0
2014-11-24,1,1.0,1.0,0.0
2014-11-27,1,1.0,1.0,0.0
2014-11-28,2,1.0,1.0,0.0
2014-11-29,1,1.0,1.0,0.0
2014-12-03,1,1.0,1.0,0.0
2014-12-10,1,1.0,1.0,0.0
2014-12-11,1,1.0,1.0,0.0
2014-12-12,1,0.0,0.0,0.0
2014-12-13,1,1.0,1.0,0.0
2014-12-15,1,1.0,1.0,0.0
2014-12-17,1,1.0,1.0,0.0
2014-12-19,1,0.0,0.0,0.0
2014-12-22,1,1.0,1.0,0.0
2014-12-25,1,1.0,1.0,0.0
2014-12-26,2,1.0,1.0,0.0
2014-12-31,3,1.0,1.0,0.0
2015-01-01,1,1.0,1.0,0.0
2015-01-02,2,1.0,1.0,0.0
2015-01-06,1,1.0,1.0,0.0
2015-01-09,1,1.0,1.0,0.0
2015-01-10,3,1.0,1.0,0.0
2015-01-12,1,1.0,1.0,0.0
2015-01-16,2,1.0,1.0,0.0
2015-01-19,1,1.0,1.0,0.0
2015-01-22,1,1.0,1.0,0.0
2015-01-23,3,1.0,1.0,0.0
2015-01-25,1,0.0,0.0,0.0
2015-01-29,1,1.0,1.0,0.0
2015-01-31,1,1.0,1.0,0.0
2015-02-03,5,1.0,1.0,0.0
2015-02-04,4,1.0,1.0,0.0
2015-02-05,1,1.0,1.0,0.0
2015-02-06,2,1.0,1.0,0.0
2015-02-12,1,1.0,1.0,0.0
2015-02-19,1,1.0,1.0,0.0
2015-02-20,1,1.0,1.0,0.0
2015-02-23,1,0.0,0.0,0.0
2015-02-24,1,1.0,1.0,0.0
2015-02-28,1,1.0,1.0,0.0
2015-03-02,2,1.0,1.0,0.0
2015-03-05,1,1.0,1.0,0.0
2015-03-06,1,1.0,1.0,0.0
2015-03-10,1,1.0,1.0,0.0
2015-03-13,5,0.6,0.8,0.2
2015-03-14,2,1.0,1.0,0.0
2015-03-15,3,0.3333333333333333,0.3333333333333333,0.0
2015-03-17,2,0.5,0.5,0.0
2015-03-18,6,0.5,0.6666666666666666,0.16666666666666666
2015-03-19,2,0.5,0.5,0.0
2015-03-20,7,0.42857142857142855,0.5714285714285714,0.14285714285714285
2015-03-22,3,1.0,1.0,0.0
2015-03-23,1,1.0,1.0,0.0
2015-03-24,2,1.0,1.0,0.0
2015-03-25,3,0.0,0.3333333333333333,0.3333333333333333
2015-03-26,2,0.5,0.5,0.0
2015-03-27,5,1.0,1.0,0.0
2015-03-28,1,1.0,1.0,0.0
2015-03-29,4,0.75,0.75,0.0
2015-03-30,1,1.0,1.0,0.0
2015-03-31,4,0.5,0.75,0.25
2015-04-01,2,1.0,1.0,0.0
2015-04-02,3,1.0,1.0,0.0
2015-04-03,7,0.2857142857142857,0.5714285714285714,0.2857142857142857
2015-04-04,3,0.6666666666666666,0.6666666666666666,0.0
2015-04-05,1,1.0,1.0,0.0
2015-04-06,5,0.6,0.8,0.2
2015-04-07,1,1.0,1.0,0.0
2015-04-08,3,1.0,1.0,0.0
2015-04-09,4,0.75,0.75,0.0
2015-04-10,3,0.0,0.3333333333333333,0.3333333333333333
2015-04-11,3,0.3333333333333333,0.6666666666666666,0.3333333333333333
2015-04-12,1,1.0,1.0,0.0
2015-04-13,2,0.0,0.5,0.5
2015-04-14,3,0.6666666666666666,0.6666666666666666,0.0
2015-04-15,8,0.875,0.875,0.0
2015-04-16,4,1.0,1.0,0.0
2015-04-17,9,0.6666666666666666,0.7777777777777778,0.1111111111111111
2015-04-18,7,0.5714285714285714,0.7142857142857143,0.14285714285714285
2015-04-19,3,1.0,1.0,0.0
2015-04-20,5,1.0,1.0,0.0
2015-04-21,2,1.0,1.0,0.0
2015-04-23,8,1.0,1.0,0.0
2015-04-24,5,1.0,1.0,0.0
2015-04-25,1,1.0,1.0,0.0
2015-04-26,2,0.5,0.5,0.0
2015-04-27,3,1.0,1.0,0.0
2015-04-28,1,1.0,1.0,0.0
2015-04-29,6,0.6666666666666666,0.8333333333333334,0.16666666666666666
2015-04-30,6,1.0,1.0,0.0
2015-05-01,2,1.0,1.0,0.0
2015-05-02,3,0.6666666666666666,0.6666666666666666,0.0
2015-05-03,10,0.8,0.8,0.0
2015-05-04,3,0.6666666666666666,0.6666666666666666,0.0
2015-05-05,1,0.0,0.0,0.0
2015-05-06,6,1.0,1.0,0.0
2015-05-07,4,0.0,0.5,0.5
2015-05-08,1,1.0,1.0,0.0
2015-05-09,2,1.0,1.0,0.0
2015-05-10,4,1.0,1.0,0.0
2015-05-11,3,1.0,1.0,0.0
2015-05-12,4,0.75,0.75,0.0
2015-05-13,5,0.4,0.6,0.2
2015-05-14,3,1.0,1.0,0.0
2015-05-15,6,0.6666666666666666,0.8333333333333334,0.16666666666666666
2015-05-16,3,0.3333333333333333,0.6666666666666666,0.3333333333333333
2015-05-17,5,1.0,1.0,0.0
2015-05-18,3,1.0,1.0,0.0
2015-05-19,3,0.3333333333333333,0.3333333333333333,0.0
2015-05-20,5,1.0,1.0,0.0
2015-05-21,3,1.0,1.0,0.0
2015-05-22,11,0.6363636363636364,0.8181818181818182,0.18181818181818182
2015-05-23,4,1.0,1.0,0.0
2015-05-24,2,0.0,0.5,0.5
2015-05-25,3,-0.3333333333333333,0.3333333333333333,0.6666666666666666
2015-05-26,5,0.4,0.6,0.2
2015-05-27,4,0.5,0.75,0.25
2015-05-28,5,0.6,0.6,0.0
2015-05-29,9,0.7777777777777778,0.8888888888888888,0.1111111111111111
2015-05-30,8,1.0,1.0,0.0
2015-05-31,4,0.5,0.75,0.25
